X,Y,U,V,rho
1.091626522666529553e+01,3.518256494554422886e+01,-8.982400000000000384e-01,2.003199999999999981e-01,0.000000000000000000e+00
1.091626522666529553e+01,3.870082144009865033e+01,-3.931350000000000122e-01,4.746724999999999972e-01,0.000000000000000000e+00
1.091626522666529553e+01,4.221907793465307179e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,4.573733442920749326e+01,-3.866350000000000064e-01,7.251799999999998247e-01,0.000000000000000000e+00
1.091626522666529553e+01,4.925559092376192183e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,5.277384741831634329e+01,-3.104250000000000065e-01,7.602200000000000069e-01,0.000000000000000000e+00
1.091626522666529553e+01,5.629210391287076476e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,5.981036040742518622e+01,4.497999999999999776e-01,3.389150000000000218e-01,0.000000000000000000e+00
1.091626522666529553e+01,6.332861690197960769e+01,-8.375000000000000222e-01,4.318100000000000271e-01,0.000000000000000000e+00
1.091626522666529553e+01,6.684687339653403626e+01,7.628699999999998260e-01,-4.458449999999999913e-01,0.000000000000000000e+00
1.091626522666529553e+01,7.036512989108845773e+01,8.835600000000000120e-01,-1.405499999999999527e-01,0.000000000000000000e+00
1.091626522666529553e+01,7.388338638564287919e+01,-6.836200000000000054e-01,4.410549999999999748e-01,0.000000000000000000e+00
1.091626522666529553e+01,7.740164288019730066e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,8.091989937475172212e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,8.443815586930614359e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,8.795641236386056505e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529553e+01,9.147466885841498652e+01,9.094299999999999606e-01,-3.662800000000001055e-01,0.000000000000000000e+00
1.091626522666529553e+01,9.499292535296942219e+01,4.677999999999999936e-01,3.468599999999999461e-01,0.000000000000000000e+00
1.091626522666529553e+01,9.851118184752384366e+01,-8.277200000000000113e-01,4.442900000000000182e-01,0.000000000000000000e+00
1.091626522666529553e+01,1.020294383420782651e+02,9.268549999999999844e-01,-1.941430000000000100e-01,0.000000000000000000e+00
1.273564276444284538e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,5.277384741831633974e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
